Comment,Designator,Footprint,LCSC,Quantity
220n,"C1,C26,C31,C32",C_0603_1608Metric,C21120,4
10u,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C34,C35,C39,C40,C41,C42",C_1206_3216Metric,C13585,17
0.1u,"C2,C29,C3,C36,C37,C4,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53",C_0603_1608Metric,C14663,18
4.7m,"C21,C22,C23,C24",CP_Radial_D18.0mm_P7.50mm,C442850,4
1u,"C25,C30",C_0603_1608Metric,C15849,2
150n,C27,C_0603_1608Metric,C513735,1
330p,C28,C_0603_1608Metric,C1664,1
47p,C33,C_0603_1608Metric,C1671,1
47u,"C6,C7,C8",CP_Radial_D5.0mm_P2.00mm,C724770,3
47u,C9,CP_Radial_D5.0mm_P2.00mm,C432384,1
BAS316,"D1,D2",D_SOD-323,C109218,2
Z2SMBJ13A,D3,D_SMB,C5161161,1
Conn_01x08_Pin,J1,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,C157972,1
Conn_01x04_Pin,"J10,J11,J12,J3,J4,J5,J6,J7,J8,J9",FanPinHeader_1x04_P2.54mm_Vertical,C240840,10
Conn_01x12_Socket,J13,PinSocket_1x12_P2.54mm_Vertical,C2905419,1
Conn_01x16_Socket,J14,PinSocket_1x16_P2.54mm_Vertical,C2905421,1
Conn_01x03_Pin,J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C51940188,1
47u,L1,L_Wuerth_HCF-2013,C2651192,1
3.3u,L2,L_TDK_VLS6045EX_VLS6045AF,C307879,1
BSC098N10NS5,"Q1,Q2,Q3,Q4",Infineon_PG-TDSON-8_6.15x5.15mm,C534398,4
2N3904,Q5,TSOT-23,C81464,1
1.5kOhm,"R1,R3",R_0603_1608Metric,C22843,2
100k,"R10,R12,R2,R27,R28,R29,R4",R_0603_1608Metric,C25803,7
93.1k,R11,R_0603_1608Metric,C228101,1
82k,R13,R_0603_1608Metric,C23254,1
0,"R14,R16,R17,R18,R19",R_0603_1608Metric,C21189,5
2k,R15,R_0603_1608Metric,C22975,1
100,"R20,R21",R_0603_1608Metric,C22775,2
20m,"R22,R23",R_0612_1632Metric,C713438,2
0,R24,R_0612_1632Metric,C2074805,1
280k,R25,R_0603_1608Metric,C22970,1
20k,R26,R_0603_1608Metric,C4184,1
10k,"R30,R32",R_0603_1608Metric,C25804,2
54.9k,R31,R_0603_1608Metric,C23077,1
10m,"R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R8",R_0805_2012Metric,C728271,11
1m,"R5,R7",R_0612_1632Metric,C21261111,2
33m,R6,R_0603_1608Metric,C859741,1
300k,R9,R_0603_1608Metric,C23024,1
TestPoint,"TP71,TP72,TP73,TP74,TP75,TP76,TP77,TP78",TestPoint_Keystone_5000-5004_Miniature,C5199801,8
INA226,"U1,U10,U11,U12,U13,U14,U15,U16,U2,U3,U4,U7,U8,U9",VSSOP-10_3x3mm_P0.5mm,C49851,14
LM5176RHF,U5,VQFN-28-1EP_4x5mm_P0.5mm_EP2.55x3.55mm,C1850330,1
TPS563201,U6,SOT-23-6,C116592,1
